Metric,With Reranking,Without Reranking,Difference
BLEU,0.0029716771016196,0.0027521278214388,0.0002195492801808003
ROUGE-L,0.0938740116823284,0.086833817386503,0.007040194295825392
METEOR,0.0771156291473902,0.0683478074160115,0.008767821731378703
BERTScore_F1,0.4523027070931026,0.432362534429716,0.0199401726633866
Cosine_Similarity,0.35100025,0.29415795,0.05684230000000001
